start,end,title,company,description,url,type,image
2020,,Professional Diploma in UX,UX Design Institute,,https://www.credential.net/4ece1bf2-01f2-4015-93f8-e12c34ecc84e,qualification,uxdi.png
2020,,Certificate 6 in Counselling and Psychotherapy,Institute of Integrated Counselling and Psychotherapy (IICP),,https://www.iicp.ie/certificate-in-counselling-psychotherapeutic-studies/,qualification,iicp.jpg
2017,2019,Front-end Engineer,Intellum,"Senior front-end engineer working primarily on learning management
software used by major tech companies around the world.",https://www.intellum.com/,job,intellum.jpg
2014,2016,Front-end Developer,Australian Broadcasting Corporation (ABC),Front-end development primarily on the ABC News website. Specialising in JavaScript development and interactivity to help improve the website experience.,https://www.abc.net.au/news/,job,abc.png
2013,2015,Co-organiser,Thought Fort,"Co-organiser and manager of a co-working space in Brisbane.",http://thoughtfort.com.au/,job,thoughtfort.png
2010,2014,Freelance Designer and Developer,Experience Bureau,"Specialising in user interface and user experience for a wide range of websites and applications.",http://experiencebureau.com/,job,experiencebureau.png
2009,2011,Designer and Developer,Cambia,"Graphic and web design as well as wireframes, conceptual designs and prototypes for various projects not for profit projects including a patent search facility.",https://cambia.org/,job,cambia.png
2009,,UI Design and Development,Creative Designer Software,"UI design and development for a new release of a 3D home modelling application.",,job,myvirtualhome.png
2003,2008,Web Design and Development,Zolv,"Website designer on UK holiday websites including Virgin Holidays, Teletext Holidays and others.",https://www.zolv.com/,job,zolv.jpg
1999,2003,Web Design and Development,Digicon,"Website designer on a range of Government and business websites in Brisbane, Australia.",,job,digicon.png
1998,2002,Bachelor of Multimedia,"Griffith University, Brisbane, Australia",,,qualification,griffith.png
1993,1996,Bachelor of Science,"University of Queensland, Brisbane, Australia",,,qualification,uq.jpg
